labs_os,Labs OS
guide_window_gpu_cluster,"Węzeł sprzętowy. Generuje wiele wartości Prędkości GPU w zależności od poziomu i liczby GPU; poziom można ulepszać za pomocą Pieniędzy, aby zwiększyć wydajność wszystkich GPU, a liczbę GPU można zwiększać za pomocą Pieniędzy, aby zwiększyć ilość produkcji. Prędkość GPU jest mierzona w hercach (Hz), czyli cyklach (C) na sekundę i może być także ulepszana przez Wzmocnienie Komponentów."
guide_window_mine_token,Wydobywa Tokeny przy użyciu Prędkości GPU. Wymaganie cykli wzrasta wykładniczo dla każdego wydobytego Tokena i nie resetuje się po wejściu do Portalu.
guide_window_movie_renderer,Tworzy pliki wideo z Obrazów i Dźwięków przy użyciu Prędkości GPU. Filmy dziedziczą modyfikatory podobne do użytych obrazów i dźwięków. Wymagana liczba cykli (C) zależy od rozmiaru wideo.
guide_window_data_lab,"Zużywa pliki, aby generować Badania, ilość i typ wyjścia zależą od formatu i jakości pliku wejściowego, działając z ustaloną prędkością zużycia plików na sekundę, którą można ulepszyć za Pieniądze w celu zwiększenia szybkości przetwarzania."
guide_window_agi,Wypuszcza Moc AI na podstawie najniższej liczby Neuronów włożonej spośród liczników.
guide_window_hacker,"Zapewnia Moc Hakowania bazując na Poziomie Hakowania. Poziom Hakowania można zwiększać, przy użyciu Doświadczenia Hackowania."
guide_window_execute_injection,Zapewnia Podatność na podstawie włożonej Mocy Hakowania.
guide_window_breach_anonymous,"Włamanie na cel. Ustal dowolne obrażenia, aby spróbować złamać anonimowy cel w określonym czasie. Jeśli się uda, otrzymasz Doświadczenie Hakowania. Pomyślne złamanie anonimowego celu na najwyższym poziomie zagrożenia również podniesie jego maksymalny poziom zagrożenia, zwiększając trudność i nagrody."
guide_window_breach_corps,"Włamanie na cel. Ustal dowolne obrażenia, aby spróbować złamać firmy w określonym czasie. Jeśli się uda, otrzymasz Dane Korporacyjne. Pomyślne złamanie firmy na najwyższym poziomie zagrożenia również podniesie jej maksymalny poziom zagrożenia, zwiększając trudność i nagrody."
guide_window_breach_government,"Włamanie na cel. Ustal dowolne obrażenia, aby spróbować złamać rząd w określonym czasie. Jeśli się uda, otrzymasz Tokeny oraz wywiad rządowy. Pomyślne złamanie rządu na najwyższym poziomie zagrożenia również podniesie jego maksymalny poziom zagrożenia na stałe, zwiększając trudność."
guide_window_breach_bank,"Włamanie na cel. Ustal dowolne obrażenia, aby spróbować złamać bank w określonym czasie. Jeśli się uda, otrzymasz Tokeny, a także na stałe wzrośnie maksymalny poziom zagrożenia, zwiększając trudność. Ukończenie lub niepowodzenie złamania spowoduje zniszczenie węzła."
guide_window_drain,"Odbiera wydajność z zainfekowanych komputerów, generując Wzmocnienie Komponentu."
guide_window_coder,"Zapewnia Szybkość Kodu na podstawie poziomu Wkładu. Poziom Wkładu można zwiększyć, poprzez Wkład."
guide_window_commit,Zatwierdza wstawiony kod w zamian za Wkład. Nagroda zależy od złożoności kodu i jego modyfikatorów.
guide_window_build,Buduje projekt na podstawie wstawionego kodu. Ukończenie projektu nagrodzi unikalnymi ulepszeniami.
guide_window_code_bugfix,"Tworzy kod naprawy błędów przez wymagane zmienne: bool, int."
guide_window_code_optimization,"Tworzy kod optymalizacyjny przez wymagane zmienne: BitFlag, Vector."
guide_window_code_application,"Tworzy kod aplikacji przez wymagane zmienne: Array[String], Array[BigInt]."
guide_window_code_driver,"Tworzy kod sterownika przez wymagane zmienne: HashMap[Decimal], HashMap[Vector]."
guide_window_code_variable,Koduje zmienną typu prymitywnego przy użyciu Szybkości Kodu.
guide_window_variable_combiner,"Łączy dwie wstawione zmienne prymitywne w zaawansowaną zmienną.
BitFlag = bool + int
BigInt = int + int
Decimal = int + float
String = char + char
Vector = float + float"
guide_window_code_array,Koduje tablicę (Array) wstawionej zmiennej.
guide_window_code_hashmap,Koduje hashmapę wstawionej tablicy (array) przy użyciu tablicy tekstów.
guide_window_overclocker,Umożliwia ustawienie wybranego poziomu podkręcenia do wykorzystania na komponentach.
guide_window_heat_sink,"Rozprasza ciepło generowane przez komponenty zależnie od poziomu, który można ulepszać za pomocą Pieniędzy."
tutorial_desc_press,"Dowiedzmy się, jak zarządzać laboratorium w tym krótkim wprowadzeniu."
tutorial_desc_drag_download,"Rozpocznij połączenie, przeciągając wyjście Szybkości Pobierania."
tutorial_desc_connect_download,"Upuść złącze na wejściu Szybkości Pobierania, aby utworzyć połączenie."
tutorial_desc_press2,"Połączenia przebiegają od lewej do prawej. Wyjścia wysyłają zasoby, wejścia odbierają zasoby."
tutorial_desc_drag_bin_connector,"Usuń połączenie, przeciągając wejście."
tutorial_desc_press3,"Teraz dodajmy węzeł, aby przesłać pobrane pliki."
tutorial_desc_open_menu,"Naciśnij, aby otworzyć menu węzłów sieciowych."
tutorial_desc_select_uploader,Wybierz Przesyłacz z listy węzłów.
tutorial_desc_add_uploader,"Naciśnij, aby umieścić węzeł na pulpicie."
tutorial_desc_drag_uploader,"Przeciągnij górną część węzła Przesyłacza, aby zacząć go przesuwać."
tutorial_desc_move_uploader,Przenieś Pzesylacz w wskazane miejsce i puść go.
tutorial_desc_connect_file,"Podłącz pobrane pliki do Przesyłacza, aby rozpocząć przesyłanie."
tutorial_desc_connect_upload,Podłącz teraz Szybkość Wysyłania do Przesyłacza.
tutorial_desc_press4,Dodajmy węzeł zbierający Pieniądze z przesyłania.
tutorial_desc_open_menu2,Otwórz menu narzędziowe węzłów.
tutorial_desc_select_collector,Wybierz węzeł Zbieracz.
tutorial_desc_add_collector,Dodaj węzeł Zbieracza.
tutorial_desc_connect_money,Podłącz teraz wyjście Pieniędzy do wejścia Zbieracza.
tutorial_desc_press5,"Na razie nie będziesz potrzebować węzła Kosza, więc go usuńmy."
tutorial_desc_select_bin,"Wybierz węzeł Kosza, naciskając jego górną część."
tutorial_desc_delete_bin,"Teraz naciśnij przycisk kosza na dole, aby go usunąć."
tutorial_desc_press6,"To wszystko! Teraz zacznij zdobywać trochę gotówki, aby ulepszyć swój setup."
heat_death_universe,Śmierć cieplna Wszechświata
august_12_2036,"12 Sierpień, 2036"
you_failed,Nie udało ci się ocalić wszechświata
for_now,Na razie
english,Angielski
spanish,Hiszpański
german,Niemiecki
french,Francuski
korean,Koreański
indonesian,Indonezyjski
portuguese,Portugalski
polish,Polski
italian,Włoski
traditional_chinese,Chiński Tradycyjny
japanese,Japoński
credits,Napisy Końcowe
